instruction,value
_noise,1.874769301641555e-08
_programoffset,0.00890515887548053
_unknown_cost,1e-08
add,1.8970852806454614e-08
alloca,1.8840789794921878e-08
and,2.012098403204055e-08
ashr,2.0175933837890623e-08
br,1.0640008108956474e-08
call,1.4461244855608259e-08
fadd,1.662762959798177e-08
fdiv,1.5609650384812127e-08
fmul,1.6138076782226562e-08
frem,1.1391594296409973e-08
fsub,1.5146437145414807e-08
getelementptr,1.7101287841796872e-08
icmp eq,1.5972319103422622e-08
icmp ne,1.6195569719587053e-08
icmp sge,1.7218362717401412e-08
icmp sgt,1.6288848150344122e-08
icmp sle,1.743598211379278e-08
icmp slt,1.668948218936012e-08
icmp uge,1.644225347609747e-08
icmp ule,1.7684845697312128e-08
icmp ult,1.6961233956473214e-08
load,1.758975074404762e-08
lshr,1.763153076171875e-08
mul,1.7878668648856028e-08
or,1.871581304640997e-08
sdiv,1.7555418468656992e-08
select,1.85478755405971e-08
sext,1.9866125924246655e-08
shl,1.9411268688383557e-08
srem,1.768221173967634e-08
store,1.8332435971214656e-08
sub,1.9223531087239583e-08
switch,1.725414821079799e-08
udiv,1.727930704752604e-08
urem,1.7452694120861238e-08
xor,1.8986656552269346e-08
zext,1.9077028547014508e-08
