instruction,median_value,mean_value,std_value,var_value,min_value,max_value,coefficient_of_variation
_noise,1.9031252179827005e-08,1.874769301641555e-08,6.713038632630997e-09,4.506488768319625e-17,4.863739013671876e-09,2.837589808872768e-08,0.35807278403550963
_programoffset,0.008676189846462675,0.00890515887548053,0.0005819149725045376,3.386250352249568e-07,0.008315313430059524,0.010043443952287946,0.0653458271369849
_unknown_cost,1e-08,1e-08,0.0,0.0,1e-08,1e-08,0.0
add,1.9414538428896953e-08,1.8970852806454614e-08,4.708359430075545e-09,2.2168648522781316e-17,1.0808308919270834e-08,2.5573003859747025e-08,0.2481891287709312
alloca,1.9190197899228052e-08,1.8840789794921878e-08,4.568388938917603e-09,2.0870177497224704e-17,1.0596684047154017e-08,2.8399512881324397e-08,0.24247332456035955
and,2.0235152471633184e-08,2.012098403204055e-08,3.3670691728840064e-09,1.1337154814985788e-17,1.3213384719122024e-08,2.568108694893973e-08,0.16734117812142305
ashr,2.026557922363281e-08,2.0175933837890623e-08,3.5902203371710066e-09,1.2889682069436298e-17,1.3147989908854168e-08,2.6185171944754464e-08,0.17794568350677945
br,1.0622115362258185e-08,1.0640008108956474e-08,2.8972097079883066e-09,8.393824092061688e-18,4.461379278273806e-09,1.620701381138393e-08,0.27229393796697515
call,1.495225088936942e-08,1.4461244855608259e-08,4.847778252834139e-09,2.3500953988651625e-17,2.4641127813430014e-09,2.0770118350074404e-08,0.33522551490123675
fadd,1.7454964773995538e-08,1.662762959798177e-08,4.467277566328881e-09,1.9956568854625285e-17,8.48134358723958e-09,2.2806440080915185e-08,0.2686659298010289
fdiv,1.5958150227864583e-08,1.5609650384812127e-08,3.812952573737317e-09,1.453860732957003e-17,9.803771972656246e-09,2.0972660609654018e-08,0.24426892849869608
fmul,1.5875498453776046e-08,1.6138076782226562e-08,3.2460067701635646e-09,1.0536559951947696e-17,9.781065441313246e-09,2.085731143043155e-08,0.20113962859183487
frem,1.1385963076636906e-08,1.1391594296409973e-08,3.105755285063079e-09,9.645715890697247e-18,4.025413876488095e-09,1.4946347191220247e-08,0.2726356999952016
fsub,1.5445890880766368e-08,1.5146437145414807e-08,2.503804751591837e-09,6.26903823409386e-18,1.1820111955915183e-08,1.889728364490327e-08,0.16530651581978137
getelementptr,1.6034898303803946e-08,1.7101287841796872e-08,3.812908489433921e-09,1.4538271148797267e-17,1.359212966192336e-08,2.628326416015625e-08,0.22296031297215393
