syscall,value
accept,0.0030540017520680144
accept4,1e-06
access,0.0003759518942299607
arch_prctl,0.0003769925641605238
bind,0.000404952734375
brk,0.0004537891552849142
capget,0.0003785638408988256
capset,1e-06
chdir,0.0008054265046296296
chmod,1e-06
clock_gettime,0.0005653986597794154
clock_nanosleep,0.015052440467643402
clone,0.003031797685894643
clone3,0.004361933351035062
close,0.0004419931010353654
close_range,0.000767254150390625
connect,0.0008766553733846674
copy_file_range,1e-06
dup,1e-06
dup2,0.0001518172927188552
dup3,9.817551470339557e-05
epoll_create1,1e-06
epoll_ctl,0.0005203731462404605
epoll_pwait,0.0004009072909433173
epoll_pwait2,0.000660692626953125
epoll_wait,0.0008364287317486101
eventfd2,0.0001836622006382658
execve,0.003862471305121966
faccessat,1e-06
faccessat2,0.00022988027973790327
fadvise64,0.00012937900390625
fallocate,0.0029439175347222217
fchmod,1e-06
fchown,1e-06
fcntl,0.00029605627484520004
fdatasync,0.004732259114583333
flock,0.00032645173783374956
fsconfig,0.0008796968936011905
fsmount,1e-06
fsopen,1e-06
fstat,0.0003171430648700622
fstatfs,1e-06
fsync,0.0009272913115530302
ftruncate,0.0021099421842204987
futex,0.000969832437705466
getcwd,5.101760013204225e-05
getdents64,0.0016968739060630393
getegid,0.00023630251228098014
geteuid,0.0003452628163403559
getgid,0.00031804209271323676
getpeername,0.00027845667116278334
getpgrp,1e-06
getpid,0.0006133700842816365
getppid,0.00017301914062499999
getpriority,0.0007301023003472223
getrandom,0.00035582976686601394
getrusage,0.00025332700938945175
getsockname,0.0005580186032347615
getsockopt,0.0003050896430260413
gettid,0.0022829973801259036
getuid,0.0002886051585369037
inotify_add_watch,0.00046108398437499996
io_uring_enter,0.00034757968749999995
ioctl,0.00039181375041949745
keyctl,1e-06
kill,0.00026868068037330396
lgetxattr,1e-06
lseek,0.00033650602846113013
lstat,0.0003586138915597034
madvise,0.0003421908534305781
membarrier,1e-06
mkdir,0.0031317239431273083
mknodat,0.0022384557291666666
mmap,0.00047087325294040323
mprotect,0.0009891404923428645
munmap,0.0005419320690439669
nanosleep,0.0007932300932366211
newfstatat,0.002984562865831792
open,1e-06
open_tree,1e-06
openat,0.0003490341637356334
openat2,0.0007657456672054597
pidfd_open,0.0013195375434027778
pidfd_send_signal,1e-06
pipe2,0.0004635114894507504
pkey_alloc,1e-06
poll,0.0014788934105607484
ppoll,0.0007010555549918831
prctl,0.00047042178440478424
pread64,0.0002943102968912841
prlimit64,0.00031016637613933795
pselect6,0.0112481130794873
pwrite64,0.0009651334890444108
quotactl,0.0012237723808092948
read,0.0008514948470286438
readlink,0.0002951624952149012
readlinkat,1e-06
recvfrom,0.0004594885257175693
recvmmsg,1e-06
recvmsg,0.0005618338313162723
rename,1e-06
renameat,0.00470020703125
rseq,0.00021147613154233455
rt_sigaction,0.0003716875375739098
rt_sigprocmask,0.00035341909502460933
rt_sigreturn,0.00029386494745443925
sched_get_priority_max,1e-06
sched_get_priority_min,1e-06
sched_getaffinity,0.000370191014936067
sched_setaffinity,1e-06
sched_setscheduler,1e-06
sched_yield,0.00040523165005163197
seccomp,0.0009502926946271929
select,0.0009390032119986687
semtimedop,0.00021696617838541662
sendmmsg,0.005472355396412037
sendmsg,0.00439374196077384
sendto,0.00112449476932569
set_robust_list,0.0004933576266629678
set_tid_address,0.0002971005596032303
setgid,0.0009885215773809523
setgroups,1e-06
setitimer,0.000319411910852003
setns,1e-06
setpriority,0.0007323046223958334
setsid,0.005446025607638888
setsockopt,0.00026708626998619815
setuid,0.0010306648995535713
shutdown,0.0002798977297055438
sigaltstack,0.0006050980281848085
socket,0.00047950351935011125
socketpair,0.0004477629569811699
stat,9.014237545009772e-05
statfs,0.00042436490668747737
statx,0.000853993831348045
sysinfo,1e-06
syslog,1e-06
tgkill,0.0003767249371722028
timerfd_create,0.0005563199218750001
timerfd_settime,0.00028299062128488714
times,1e-06
umask,1e-06
uname,0.000570937295968192
unlink,0.003154331183307927
unlinkat,0.005146026611328125
unshare,1e-06
utimensat,0.00946114921875
vfork,0.0013334113818073829
wait4,0.0006717096907802531
waitid,0.0017527176106770833
write,0.0007096632396798545
writev,0.0006996298732351992
