syscall,median_value,mean_value,std_value,var_value,min_value,max_value,coefficient_of_variation
accept,0.0030540017520680144,0.0030540017520680144,0.0002456219162159585,6.033012572559931e-08,0.0028803208295036763,0.003227682674632353,0.08042625255523701
accept4,1e-06,1e-06,,,1e-06,1e-06,
access,0.0003467624470338983,0.0003759518942299607,0.00029024204910008393,8.424044706581554e-08,1e-06,0.0009627709021935096,0.7720191161546586
arch_prctl,0.00012121997718473452,0.0003769925641605238,0.0004923710920737128,2.4242929230986054e-07,1e-06,0.0013527383609693877,1.3060498770582136
bind,1e-06,0.000404952734375,0.0012774107076779938,1.631778116090393e-06,1e-06,0.00404052734375,3.1544686558285298
brk,0.0004476956794598351,0.0004537891552849142,0.0003447578305128598,1.1885796169993379e-07,1e-06,0.0009765625,0.7597313124338584
capget,0.0005039949081131436,0.0003785638408988256,0.00033306031146223327,1.1092917107131983e-07,1e-06,0.0006306966145833334,0.8797995885487818
capset,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
chdir,1e-06,0.0008054265046296296,0.0013933075769735593,1.941306004051931e-06,1e-06,0.002414279513888889,1.729900331023081
chmod,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
clock_gettime,1e-06,0.0005653986597794154,0.0010740529360082729,1.153589709347991e-06,1e-06,0.0032196044921875,1.8996382772242577
clock_nanosleep,0.0005964046831333223,0.015052440467643402,0.04524045931641031,0.0020466991591597764,1e-06,0.14380137390836809,3.005523218222242
clone,0.0018623658669473997,0.003031797685894643,0.0036829758574188744,1.3564311166330293e-05,1e-06,0.012252955760770632,1.2147828578911517
clone3,0.003317798094892027,0.004361933351035062,0.004859789137111859,2.3617550457190427e-05,1e-06,0.01312255859375,1.1141364954507291
close,0.0003100686298989131,0.0004419931010353654,0.00041833421806242063,1.750035180018969e-07,0.00022587091949349442,0.001621150932599742,0.9464722799574834
close_range,0.000767254150390625,0.000767254150390625,0.0010836470117070952,1.1742908459817172e-06,1e-06,0.00153350830078125,1.4123703484111336
connect,0.00043537548828125,0.0008766553733846674,0.001047263399179615,1.0967606272612417e-06,1e-06,0.0028131158502252254,1.1946124223664418
copy_file_range,1e-06,1e-06,,,1e-06,1e-06,
dup,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
dup2,1e-06,0.0001518172927188552,0.0002468802128286726,6.094983948633067e-08,1e-06,0.000611572265625,1.626166613877517
dup3,1e-06,9.817551470339557e-05,0.00020918110813089068,4.375673599886737e-08,1e-06,0.0005765642438616071,2.130685118003825
epoll_create1,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
epoll_ctl,0.00035175524259868423,0.0005203731462404605,0.00042319828946936293,1.790967922097947e-07,1e-06,0.0012739515796150128,0.8132592785135885
epoll_pwait,0.0003653241119690172,0.0004009072909433173,0.000159789556388413,2.5532702330805818e-08,0.0002474597573640483,0.0007663354288890992,0.39856984394680167
epoll_pwait2,1e-06,0.000660692626953125,0.00131938525390625,1.7407774482252598e-06,1e-06,0.0026397705078125,1.9969728737412686
epoll_wait,0.0006867910723819285,0.0008364287317486101,0.00042672077107465726,1.8209061646655006e-07,0.00046982131637893356,0.0018953907822732644,0.5101699103312353
eventfd2,1e-06,0.0001836622006382658,0.00032822859980879835,1.0773401373244429e-07,1e-06,0.000811935564793578,1.787132021004502
execve,0.00095367431640625,0.003862471305121966,0.006689792684777061,4.475332616529668e-05,1e-06,0.017860772783664162,1.7319980282845924
faccessat,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
faccessat2,1e-06,0.00022988027973790327,0.0007237829954682606,5.238618245290082e-07,1e-06,0.0022898027973790322,3.1485214664497443
fadvise64,1e-06,0.00012937900390625,0.0004059700560874035,1.6481168643960955e-07,1e-06,0.0012847900390625,3.1378356907244056
fallocate,1e-06,0.0029439175347222217,0.005097282692624234,2.598229084852656e-05,1e-06,0.008829752604166666,1.7314624586130591
fchmod,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
fchown,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
fcntl,0.00025965167235545317,0.00029605627484520004,0.00015859871378804758,2.515355201522303e-08,7.501775568181818e-05,0.0005376035126967766,0.5357046185593419
fdatasync,0.004732259114583333,0.004732259114583333,0.0029894366278191043,8.936731351746457e-06,0.002618408203125,0.006846110026041667,0.6317144846541901
flock,0.00032645173783374956,0.00032645173783374956,8.304636331112004e-05,6.896698459202545e-09,0.0002677290911835749,0.00038517438448392425,0.25439093650471745
fsconfig,0.0008796968936011905,0.0008796968936011905,0.0012426650641459121,1.5442164616487638e-06,1e-06,0.001758393787202381,1.4126059477814559
fsmount,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
fsopen,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
fstat,0.0003287309543875519,0.0003171430648700622,4.598257616137859e-05,2.1143973104369824e-09,0.00024560133382041605,0.0003863219462561627,0.144990010045524
fstatfs,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
fsync,1e-06,0.0009272913115530302,0.0016043836142194607,2.5740467815758994e-06,1e-06,0.002779873934659091,1.7301829470745653
ftruncate,0.0002579920654296875,0.0021099421842204987,0.0041780233383063884,1.745587901543286e-05,1e-06,0.0105438232421875,1.9801601055954647
futex,0.00048178389957584465,0.000969832437705466,0.0012085726720564985,1.4606479036417846e-06,0.0004503741354687175,0.004305955327315327,1.2461664768770468
getcwd,1e-06,5.101760013204225e-05,0.00015816953951279219,2.501760322968873e-08,1e-06,0.0005011760013204225,3.1002936065871864
getdents64,0.001560211181640625,0.0016968739060630393,0.001353951844736095,1.8331855978642745e-06,1e-06,0.004856109619140625,0.79790952050022
getegid,1e-06,0.00023630251228098014,0.00035015377645854304,1.2260766716817934e-07,1e-06,0.0010006327024647888,1.4818030205374448
geteuid,0.0002293486587113062,0.0003452628163403559,0.0004643055531896767,2.155796467227717e-07,1e-06,0.0012235753676470588,1.3447887557401197
getgid,0.00011263435683139534,0.00031804209271323676,0.00043498988806278324,1.8921620271687269e-07,1e-06,0.0012914685235507247,1.3677116898328068
getpeername,1e-06,0.00027845667116278334,0.0004798869805594975,2.3029151411051153e-07,1e-06,0.0011707652698863637,1.7233811585679688
getpgrp,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
getpid,0.000250385391826499,0.0006133700842816365,0.001219645259909122,1.4875345600187901e-06,0.00011426788015463918,0.004074281232586235,1.9884329072513207
getppid,1e-06,0.00017301914062499999,0.0005439722855198005,2.9590584741363534e-07,1e-06,0.00172119140625,3.1440006207105187
getpriority,1e-06,0.0007301023003472223,0.0017515528328341883,3.06793732620947e-06,1e-06,0.0054280598958333336,2.3990512452860155
getrandom,0.0004382802339925031,0.00035582976686601394,0.00021992217313459932,4.8365762236244683e-08,1e-06,0.0005940983323843728,0.6180544564092357
getrusage,1e-06,0.00025332700938945175,0.0005388633140952576,2.9037367127772426e-07,1e-06,0.001708984375,2.127145129111903
getsockname,1e-06,0.0005580186032347615,0.0015608818712505108,2.4363522159984965e-06,1e-06,0.004984537760416667,2.7971860834070426
getsockopt,1e-06,0.0003050896430260413,0.0006546366026143334,4.285490814824367e-07,1e-06,0.0020000751201923075,2.1457188651876202
gettid,0.0002626795036754605,0.0022829973801259036,0.0064358153077445366,4.14197186753989e-05,1e-06,0.020590340377938034,2.8190200145519273
getuid,0.0003372489567316653,0.0002886051585369037,0.00027503072237747235,7.564189825147427e-08,1e-06,0.0007651508718297101,0.9529653723854156
inotify_add_watch,0.00048364257812499997,0.00046108398437499996,0.00026180243868311766,6.854051690042758e-08,0.000130859375,0.0010169270833333334,0.5677977278651117
io_uring_enter,1e-06,0.00034757968749999995,0.001095981203249388,1.2011747978759765e-06,1e-06,0.003466796875,3.1531796668911736
ioctl,0.0003406801937149357,0.00039181375041949745,0.00019095556286429058,3.6464026988818034e-08,0.0002809069962046079,0.0009279682887004233,0.48736309703230934
keyctl,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
kill,0.00021099222117456896,0.00026868068037330396,0.00020983570552944445,4.403102331503972e-08,1e-06,0.0006903286637931034,0.7809854628844154
lgetxattr,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
lseek,0.00034131501850328947,0.00033650602846113013,0.00022406409724427543,5.020471967389211e-08,1e-06,0.0007413228352864584,0.6658546305067373
lstat,0.0003586138915597034,0.0003586138915597034,1.7786334131001464e-05,3.1635368181962757e-10,0.00034603705408322254,0.00037119072903618426,0.049597448815058884
madvise,0.00032159259938857853,0.0003421908534305781,7.885018242711484e-05,6.21735126878929e-09,0.00027127114342233684,0.0005472188617704759,0.23042749867980197
membarrier,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
mkdir,0.0006880642567006641,0.0031317239431273083,0.004460830636960486,1.9899009971645295e-05,0.0004266713747645951,0.008280436197916666,1.424400974661242
mknodat,0.0022384557291666666,0.0022384557291666666,0.0031642402373968826,1.0012416279961478e-05,1e-06,0.004475911458333333,1.4135817814788179
mmap,0.00041643322661630777,0.00047087325294040323,0.00015775067564965592,2.4885275667922946e-08,0.0002816336495535714,0.0007887108381404433,0.3350172783537184
mprotect,0.00037290267283638637,0.0009891404923428645,0.0019492411652167704,3.799541120175633e-06,0.00029031229760362694,0.006531315036066074,1.9706413601568618
munmap,0.0006071363176618303,0.0005419320690439669,0.00036459429025095433,1.3292899648359713e-07,1e-06,0.0011859362638449366,0.6727675128990657
nanosleep,0.0005045470543386836,0.0007932300932366211,0.0009342677488491343,8.728562265396291e-07,0.00022675485321969698,0.003399625564004011,1.1778016956429835
newfstatat,0.0003704014183292327,0.002984562865831792,0.008269163438049745,6.83790639651787e-05,0.0002595867496905941,0.026518124498511614,2.7706447509341188
open,1e-06,1e-06,,,1e-06,1e-06,
open_tree,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
openat,0.0002984765724144547,0.0003490341637356334,9.787075794510106e-05,9.578685260748563e-09,0.0002769288211234687,0.0005363428294859892,0.280404522289774
openat2,0.0007657456672054597,0.0007657456672054597,4.464659262947176e-06,1.9933182334220024e-11,0.0007625886763649425,0.000768902658045977,0.005830472772037572
pidfd_open,0.0013195375434027778,0.0013195375434027778,0.0018646936763783118,3.4770825067252643e-06,1e-06,0.0026380750868055555,1.4131418129791928
pidfd_send_signal,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
pipe2,0.0003667109375,0.0004635114894507504,0.0005057810260449751,2.558144463071078e-07,1e-06,0.0012284948470744682,1.0911941506440608
pkey_alloc,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
poll,0.000535368370834511,0.0014788934105607484,0.002975661027638416,8.854558551406112e-06,0.00046893964166195326,0.009946742801801533,2.0120862033661653
ppoll,1e-06,0.0007010555549918831,0.001632282760236336,2.664347009364752e-06,1e-06,0.00498046875,2.3283215554225722
prctl,0.00024787466507105013,0.00047042178440478424,0.0007281181725987098,5.301560732684845e-07,1e-06,0.002356635199652778,1.547798585730854
pread64,0.00032722770413689964,0.0002943102968912841,0.00020389374832698647,4.15726606068285e-08,1e-06,0.0005950927734375,0.6927849636273623
prlimit64,0.00012322239750267095,0.00031016637613933795,0.0003867212032707193,1.49553289059153e-07,1e-06,0.0009709110966435185,1.2468185884113698
pselect6,0.0006531097076751374,0.0112481130794873,0.03338228094069251,0.0011143766808033224,0.0003678877275068681,0.10625237358940973,2.9678116413650164
pwrite64,0.0008336772970992383,0.0009651334890444108,0.0009150536287142935,8.373231434231962e-07,1e-06,0.0021921793619791665,0.9481109495229495
quotactl,1e-06,0.0012237723808092948,0.0033924390106627833,1.1508642441066685e-05,1e-06,0.010793050130208334,2.7721160110014282
read,0.0004157993743349975,0.0008514948470286438,0.0012004142628354343,1.4409944024187393e-06,0.00034340294312731727,0.004215676764665656,1.409772786088338
readlink,0.0003006630978277556,0.0002951624952149012,4.464188310060257e-05,1.992897726767865e-09,0.0002377513791246749,0.0003865293773503924,0.15124510676093794
readlinkat,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
recvfrom,0.00043180591370087056,0.0004594885257175693,0.00020906177991726868,4.3706827822176484e-08,0.00015362995426829268,0.000895266710969917,0.4549880317267624
recvmmsg,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
recvmsg,0.0003506709516879168,0.0005618338313162723,0.0005035338218812482,2.535463097783366e-07,0.0002958197966565251,0.0018446529387922358,0.8962326471183872
rename,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
renameat,0.00470020703125,0.00470020703125,0.006645682315992759,4.4165093445098876e-05,1e-06,0.0093994140625,1.4139126791241297
rseq,1e-06,0.00021147613154233455,0.00029620823432134353,8.773931807976797e-08,1e-06,0.0008182010135135135,1.400669816309964
rt_sigaction,0.0003724085947541774,0.0003716875375739098,0.00011713552854688699,1.3720732047958577e-08,0.00017604484656169665,0.000555670966219473,0.31514516012954746
rt_sigprocmask,0.00026717776888563946,0.00035341909502460933,0.0001579416748669236,2.494557265976901e-08,0.00018831324658703073,0.0006379258209073604,0.44689626873705224
rt_sigreturn,1e-06,0.00029386494745443925,0.000427258972832949,1.8255022986626664e-07,1e-06,0.0012265280569242738,1.4539296929899783
sched_get_priority_max,1e-06,1e-06,,,1e-06,1e-06,
sched_get_priority_min,1e-06,1e-06,,,1e-06,1e-06,
sched_getaffinity,1e-06,0.000370191014936067,0.0005434337922109875,2.953202865168147e-07,1e-06,0.0013138620476973685,1.467982123512209
sched_setaffinity,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.0
